mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	HairPin:3_dim.  	decrescendo_hairpin	crescendo_hairpin
27	26	103	103	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	268																
28	27	105	105	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	269	mir	weep										52				
28	27	108	108	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	270	al-	and										52				
28	27	108	108	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	271				articAccentAbove								60				
28	27	105	105	4.0	0	0	Chord	4/4	2	2	1		1	1	272																
28	27	106	106	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	273												61				
28	27	107	107	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	274																
28	27	108	108	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	275												62				
29	28	109	109	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	276	-lein!	mourn!														
29	28	109	109	0.0	0	0	StaffText	4/4	2	1	0									espr.							60				
29	28	109	109	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	277												60				
29	28	110	110	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	278												60				
29	28	111	111	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	279												60				
29	28	112	112	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	280																
29	28	109	109	4.0	0	0	Chord	4/4	2	2	1		1	1	281																
29	28	109	109	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	282																
29	28	112	112	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	283				articAccentAbove								63				
30	29	113	113	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	284												64				
30	29	229/2	229/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	285												64				
30	29	115	115	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	286																
30	29	116	116	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	287												65				
30	29	113	113	4.0	0	0	Chord	4/4	2	2	1		1	1	288																
30	29	113	113	0.0	0	0	StaffText	4/4	3	1	0									espr.							63				
30	29	113	113	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	289				articAccentAbove								63				
30	29	114	114	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	290												63				
30	29	115	115	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	291												63				
30	29	116	116	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	292												63				
31	30	117	117	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	293												65				
31	30	118	118	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	294												65				
31	30	237/2	237/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	295																
31	30	119	119	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	296												66				
31	30	120	120	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	297												66				
31	30	241/2	241/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	298												66				
31	30	117	117	4.0	0	0	Chord	4/4	2	2	1		1	1	299																
31	30	117	117	1.5	0	0	Chord	4/4	3	1	3/8		1/4	3/2	300												63				
31	30	237/2	237/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	301												63				
31	30	119	119	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	302																
31	30	120	120	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	303				articAccentAbove								67				
32	31	124	124	0.0	3/4	3/4	Dynamic	4/4	1	1	0							p													
32	31	124	124	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	304	Die	The														
32	31	121	121	4.0	0	0	Chord	4/4	2	1	1		1	1	305																
32	31	121	121	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	306				articAccentAbove								67				
32	31	122	122	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	307												67				
32	31	245/2	245/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	308												67				
32	31	123	123	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	309												67				
32	31	124	124	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	310												67				
32	31	249/2	249/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	311																
33	32	125	125	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	312	Son-	sun-														
33	32	127	127	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	313	-ne,	-beams														
33	32	257/2	257/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	314	die	with														
33	32	125	125	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	315												68				
33	32	127	127	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	316																
33	32	125	125	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	317												69				
33	32	251/2	251/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	318												69				
33	32	126	126	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	319												69				
33	32	253/2	253/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	320												69				
33	32	127	127	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	321												69				
33	32	255/2	255/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	322												69				
33	32	128	128	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	323												69				
33	32	257/2	257/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	324																
33	32	125	125	4.0	0	0	Chord	4/4	3	2	1		1	1	325																
34	33	129	129	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	326	Son-	glad-										70				
34	33	259/2	259/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	327																
34	33	130	130	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	328	-ne,	-ness														
34	33	132	132	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	329	sie	all										71				
34	33	265/2	265/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	330																
34	33	129	129	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	331												72				
34	33	130	130	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	332												72				
34	33	132	132	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	333												72				
34	33	265/2	265/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	334																
34	33	129	129	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	335												73				
34	33	259/2	259/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	336												73				
34	33	130	130	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	337												73				
34	33	261/2	261/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	338												73				
34	33	131	131	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	339												73				
34	33	263/2	263/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	340												73				
34	33	132	132	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	341												73				
34	33	265/2	265/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	342																
35	34	133	133	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	343	schei-	o-										74				
35	34	267/2	267/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	344				articAccentAbove								74				
35	34	134	134	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	345				articAccentAbove								74				
35	34	271/2	271/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	346																
35	34	136	136	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	347	-net	-thers’										75				
35	34	273/2	273/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	348																
35	34	133	133	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	349												76				
35	34	134	134	1.5	1/4	1/4	Chord	4/4	2	1	3/8		1/4	3/2	350												76				
35	34	271/2	271/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	351												76				
35	34	136	136	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	352												76				
35	34	273/2	273/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	353																
35	34	133	133	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	354												77				
35	34	267/2	267/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	355												77				
35	34	134	134	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	356												77				
35	34	269/2	269/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	357												77				
35	34	135	135	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	358												77				
35	34	271/2	271/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	359												77				
35	34	136	136	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	360												77				
35	34	273/2	273/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	361																
36	35	137	137	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	362	all-	hearts										78				
36	35	275/2	275/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	363												78				
36	35	138	138	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	364												78				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	365												78				
36	35	139	139	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	366																
36	35	140	140	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	367	-ge-	may										79				
36	35	281/2	281/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	368																
36	35	137	137	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	369												80				
36	35	275/2	275/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	370												80				
36	35	138	138	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	371												80				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	372												80				
36	35	139	139	0.0	1/2	1/2	Chord	4/4	2	1	0	grace16after	1/16	1	373												80				
36	35	139	139	0.0	1/2	1/2	Chord	4/4	2	1	0	grace16after	1/16	1	374												80				
36	35	139	139	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	375												80				
36	35	140	140	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	376												80				
36	35	281/2	281/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	377																
36	35	137	137	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	378												81				
36	35	275/2	275/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4		1/4	1	379												81				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	380												81				
36	35	139	139	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	381												81				
36	35	279/2	279/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	382												81				
36	35	140	140	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	383												81				
36	35	281/2	281/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	384																
37	36	141	141	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	385	-mein!	charm!										82				
37	36	142	142	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	386																
37	36	141	141	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	387												83				
37	36	142	142	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	388																
37	36	144	144	0.0	3/4	3/4	StaffText	4/4	2	1	0									espr.											
37	36	141	141	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	389												84				
37	36	283/2	283/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	390												84				
37	36	142	142	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	391												84				
37	36	285/2	285/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	392												84, 85				
37	36	143	143	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	393																
37	36	287/2	287/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	394																
37	36	144	144	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	395				articAccentAbove								86				
37	36	289/2	289/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	396																
37	36	141	141	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	397																
38	37	145	145	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	398												87				
38	37	146	146	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	399																
38	37	148	148	0.0	3/4	3/4	Dynamic	4/4	2	1	0							pp													
38	37	148	148	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	400				articAccentAbove								88				
38	37	297/2	297/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	401																
38	37	145	145	4.0	0	0	Chord	4/4	3	1	1		1	1	402																
38	37	291/2	291/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4		1/4	1	403																
38	37	293/2	293/2	1.0	3/8	3/8	Chord	4/4	3	2	1/4		1/4	1	404																
38	37	295/2	295/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4		1/4	1	405																
38	37	297/2	297/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	406																
39	38	149	149	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	407												89				
39	38	150	150	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	408																
39	38	152	152	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	409												90				
39	38	305/2	305/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	410																
39	38	149	149	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	411																
39	38	152	152	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	412																
39	38	149	149	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	413																
39	38	152	152	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	414																
39	38	299/2	299/2	1.0	1/8	1/8	Chord	4/4	3	3	1/4		1/4	1	415																
39	38	301/2	301/2	1.0	3/8	3/8	Chord	4/4	3	3	1/4		1/4	1	416																
39	38	303/2	303/2	1.0	5/8	5/8	Chord	4/4	3	3	1/4		1/4	1	417																
39	38	305/2	305/2	0.5	7/8	7/8	Chord	4/4	3	3	1/8		1/8	1	418																
40	39	153	153	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	419												91				
40	39	307/2	307/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	420												91				
40	39	154	154	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	421				articAccentAbove								91				
40	39	309/2	309/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	422																
40	39	155	155	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	423												92				
40	39	311/2	311/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	424												92				
40	39	156	156	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	425				articAccentAbove								92				
40	39	313/2	313/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	426																
40	39	153	153	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	427												93				
40	39	307/2	307/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	428												93				
40	39	154	154	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	429												93				
40	39	309/2	309/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	430												93				
40	39	155	155	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	431																
40	39	153	153	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	432																
40	39	307/2	307/2	1.5	1/8	1/8	Chord	4/4	3	1	3/8		1/4	3/2	433																
40	39	155	155	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	434												94				
41	40	160	160	0.0	3/4	3/4	StaffText	4/4	2	1	0									"        più usemento
heftiger"											
41	40	160	160	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	435				articAccentAbove								95				
41	40	157	157	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	436												96				
41	40	158	158	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	437												96				
41	40	160	160	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	438												96				
41	40	157	157	4.0	0	0	Chord	4/4	3	1	1		1	1	439																
41	40	157	157	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	440																
41	40	160	160	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	441																
42	41	161	161	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	442				articAccentAbove								95				
42	41	162	162	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	443												95				
42	41	163	163	0.0	1/2	1/2	Spanner	4/4	2	1	0																95				2
42	41	163	163	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	444												95				2
42	41	164	164	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	445												95				2
42	41	329/2	329/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	446																2
42	41	161	161	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	447																
42	41	163	163	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	448																
42	41	161	161	4.0	0	0	Chord	4/4	3	2	1		1	1	449																
43	42	165	165	0.0	0	0	Spanner	4/4	2	1	0																				
43	42	165	165	0.0	0	0	Spanner	4/4	2	1	0																			1	
43	42	165	165	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	450				articAccentAbove								97			1	
43	42	166	166	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	451												97			1	
43	42	167	167	0.0	1/2	1/2	Spanner	4/4	2	1	0																97				
43	42	167	167	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	452												97				
43	42	168	168	0.0	3/4	3/4	Spanner	4/4	2	1	0																97				3
43	42	168	168	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	453												97				3
43	42	337/2	337/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	454																3
43	42	165	165	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	455												98				3
43	42	167	167	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	456																3
43	42	165	165	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	457												99				
43	42	167	167	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	458																
43	42	165	165	4.0	0	0	Chord	4/4	3	2	1		1	1	459																
44	43	169	169	0.0	0	0	Spanner	4/4	2	1	0																				
44	43	169	169	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	460				articAccentAbove								100				
44	43	339/2	339/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	461																
44	43	170	170	0.0	1/4	1/4	Spanner	4/4	2	1	0																				4
44	43	170	170	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	462												101				4
44	43	341/2	341/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	463																4
44	43	171	171	0.0	1/2	1/2	Spanner	4/4	2	1	0																				
44	43	171	171	0.0	1/2	1/2	Spanner	4/4	2	1	0																			2	
44	43	171	171	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	464				articAccentAbove								102			2	
44	43	343/2	343/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	465															2	
44	43	172	172	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	466												103			2	
44	43	345/2	345/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																				
44	43	345/2	345/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	467																
44	43	170	170	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	468												104				
44	43	171	171	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	469																
44	43	172	172	0.0	3/4	3/4	Dynamic	4/4	3	1	0							p													
44	43	172	172	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	470				articAccentBelow								105				
45	44	174	174	0.0	1/4	1/4	Dynamic	4/4	2	1	0							pp													
45	44	174	174	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	471												106				
45	44	175	175	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	472																
45	44	173	173	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	473																
45	44	176	176	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	474												107				
45	44	173	173	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	475				articAccentBelow								105				
45	44	176	176	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	476				articAccentBelow								105				
46	45	178	178	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	477												108				
46	45	179	179	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	478																
46	45	177	177	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	479																
46	45	180	180	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	480												109				
46	45	177	177	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	481				articAccentBelow								105				
46	45	180	180	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	482				articAccentBelow								105				
47	46	182	182	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	483												110				
47	46	183	183	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	484																
47	46	181	181	3.0	0	0	Chord	4/4	2	2	3/4		1/2	3/2	485																
47	46	184	184	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	486												111				
47	46	181	181	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	487				articAccentBelow								105				
47	46	184	184	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	488				articAccentBelow								105				
48	47	188	188	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	489	Du	O														
48	47	185	185	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	490																
48	47	188	188	0.0	3/4	3/4	StaffText	4/4	2	1	0									espr.											
48	47	188	188	0.0	3/4	3/4	Dynamic	4/4	2	1	0							p													
48	47	188	188	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	491				articAccentAbove								112				
48	47	186	186	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	492												113				
48	47	187	187	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	493																
48	47	185	185	4.0	0	0	Chord	4/4	3	1	1		1	1	494				articAccentBelow												
49	48	189	189	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	495	musst	let										114				
49	48	190	190	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	496																
49	48	191	191	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	497	nicht	not														
49	48	192	192	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	498	die	thy														
49	48	189	189	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	499												112				
49	48	190	190	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	500												112				
49	48	191	191	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	501												112				
49	48	192	192	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	502												112				
50	49	193	193	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	503	Nacht	heart										115				
50	49	389/2	389/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	504												115				
50	49	195	195	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	505																
50	49	196	196	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	506	in	to														
50	49	193	193	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	507												112				
50	49	389/2	389/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	508												112				
50	49	195	195	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	509																
50	49	196	196	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	510												116				
50	49	193	193	4.0	0	0	Chord	4/4	3	1	1		1	1	511																
51	50	197	197	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	512	dir	grief										117				
51	50	198	198	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	513																
51	50	199	199	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	514	ver-	sur-										118				
51	50	200	200	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	515																
51	50	197	197	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	516												116				
51	50	198	198	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	517												116				
51	50	397/2	397/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	518																
51	50	199	199	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	519												119				
51	50	200	200	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	520												119				
51	50	401/2	401/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	521												119				
52	51	201	201	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	522	-schrän-	-rend-										120				
52	51	405/2	405/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	523																
52	51	203	203	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	524	-ken,	-er,														
52	51	201	201	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	525																
52	51	204	204	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	526												121				
52	51	201	201	4.0	0	0	Chord	4/4	3	1	1		1	1	527																
53	52	205	205	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	528	musst	Night										122				
53	52	207	207	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	529	sie	but										122				
53	52	417/2	417/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	530	ins	fore-										122				
53	52	205	205	0.0	0	0	Dynamic	4/4	2	1	0							pp									121				
53	52	205	205	0.0	0	0	StaffText	4/4	2	1	0									"molto espressivo
sehr ausdrucksvoll"							121				
53	52	205	205	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	531												121				
53	52	207	207	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	532												121				
53	52	417/2	417/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	533												121				
53	52	205	205	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	534												123				
53	52	411/2	411/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	535												123				
53	52	206	206	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	536												123				
53	52	413/2	413/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	537												123				
