mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	Ottava:8va	Ottava:8vb	pedal	Pedal_<sym>keyboardPedalPed</sym>
38	38	151	151	0.0	3/4	3/4	Spanner	4/4	2	3	0																		29						
38	38	151	151	0.5	3/4	3/4	Chord	4/4	2	3	1/8			1/8	1	417												80	29						
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	2	3	1/8			1/8	1	418													29						
38	38	148	148	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	419												81							
38	38	150	150	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	420																			
39	39	152	152	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	421																			
39	39	152	152	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	422																			
39	39	153	153	0.0	1/4	1/4	Spanner	4/4	2	1	0																		30						
39	39	153	153	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	423												82	30						
39	39	307/2	307/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	424													30						
39	39	154	154	0.0	1/2	1/2	Spanner	4/4	2	1	0																								
39	39	154	154	0.0	1/2	1/2	Chord	4/4	2	1	0	acciaccatura		1/8	1	425																			
39	39	154	154	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	426																			
39	39	155	155	0.0	3/4	3/4	Spanner	4/4	2	1	0																		31						
39	39	155	155	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	427												83	31						
39	39	311/2	311/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	428													31						
39	39	152	152	0.0	0	0	Spanner	4/4	2	3	0																		31						
39	39	152	152	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	429												84							
39	39	154	154	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	430																			
39	39	152	152	4.0	0	0	Chord	4/4	3	2	1			1	1	431																			
40	40	159	159	0.0	3/4	3/4	Dynamic	4/4	1	1	0								mf																
40	40	159	159	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	432	Ich	I																	
40	40	156	156	0.0	0	0	Spanner	4/4	2	1	0																								
40	40	156	156	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	433				articAccentAbove								85							
40	40	313/2	313/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	434																			
40	40	157	157	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	435																			
40	40	317/2	317/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	436				articAccentAbove								86							
40	40	159	159	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	437				articAccentAbove								86							
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	438				articAccentAbove															
40	40	156	156	4.0	0	0	Chord	4/4	2	2	1			1	1	439																			
40	40	156	156	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	440												87							
40	40	158	158	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	441																			
41	41	160	160	0.0	0	0	Dynamic	4/4	1	1	0								p																
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	442	fürch-	feared																	
41	41	161	161	0.0	1/4	1/4	Spanner	4/4	1	1	0																		32						
41	41	161	161	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	443	-te-	me,											32						
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	444	-te,	lest											32						
41	41	162	162	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	445	sie	ill											32						
41	41	163	163	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	446	er-	be-											32						
41	41	160	160	0.0	0	0	Dynamic	4/4	2	1	0								p																
41	41	160	160	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	447																			
41	41	162	162	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	448																			
41	41	162	162	1.0	1/2	1/2	Chord	4/4	2	2	1/4		c16	1/8	2	449																			
41	41	649/4	649/4	0.0	9/16	9/16	Spanner	4/4	2	2	0																		33						
41	41	162	162	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/8	2	450													33						
41	41	163	163	1.0	3/4	3/4	Chord	4/4	2	2	1/4		c16	1/8	2	451													33						
41	41	163	163	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/8	2	452													33						
41	41	160	160	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	453																			
41	41	160	160	4.0	0	0	Chord	4/4	3	2	1			1	1	454																			
42	42	164	164	0.0	0	0	Spanner	4/4	1	1	0																								
42	42	164	164	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	455	-kran-	-fall		articAccentAbove															
42	42	165	165	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	456	-ken:	them,		articAccentAbove															
42	42	167	167	0.0	3/4	3/4	Dynamic	4/4	1	1	0								pp																
42	42	167	167	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	457	das	now																	
42	42	164	164	0.0	0	0	Spanner	4/4	2	1	0																			21					
42	42	164	164	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	458												88		21					
42	42	166	166	0.0	1/2	1/2	Spanner	4/4	2	1	0																	88							
42	42	166	166	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	459												88							
42	42	167	167	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	460																			
42	42	164	164	0.0	0	0	Spanner	4/4	2	2	0																								
42	42	164	164	3.0	0	0	Chord	4/4	2	2	3/4			1/2	3/2	461												89							
42	42	167	167	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	462																			
42	42	164	164	4.0	0	0	Chord	4/4	3	1	1			1	1	463																			
43	43	168	168	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	464	sind	all																	
43	43	169	169	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	465	nun	in										90							
43	43	339/2	339/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	466																			
43	43	170	170	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	467	eit-	vane																	
43	43	171	171	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	468	-le	do																	
43	43	343/2	343/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	469	Ge-	I																	
43	43	168	168	0.0	0	0	Dynamic	4/4	2	1	0								pp																
43	43	168	168	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	470												91							
43	43	170	170	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	471												91							
43	43	171	171	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	472																			
43	43	168	168	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	473												92							
43	43	170	170	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	474																			
43	43	168	168	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	475												93							
43	43	169	169	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	476												93							
43	43	170	170	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	477																			
44	44	172	172	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	478	-dan-	call										94							
44	44	345/2	345/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	479																			
44	44	173	173	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	480	-ken.	them.																	
44	44	172	172	0.0	0	0	Spanner	4/4	2	1	0																		34						
44	44	172	172	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	481													34						
44	44	175	175	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
44	44	175	175	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	482																			
44	44	172	172	4.0	0	0	Chord	4/4	3	1	1			1	1	483																			
44	44	175	175	0.0	3/4	3/4	Dynamic	4/4	3	1	0								sf																
44	44	172	172	0.0	0	0	Spanner	4/4	3	2	0																		35						
44	44	172	172	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	484												95	35						
44	44	173	173	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	485												95	35						
44	44	174	174	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	486												95	35						
44	44	175	175	0.0	3/4	3/4	Spanner	4/4	3	2	0																								
44	44	175	175	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	487																			
45	45	177	177	0.0	1/4	1/4	Dynamic	4/4	2	1	0								pp																
45	45	709/4	709/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	488												96							
45	45	355/2	355/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	489												96							
45	45	711/4	711/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	490												96							
45	45	178	178	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	491												96							
45	45	713/4	713/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	492																			
45	45	176	176	0.0	0	0	Dynamic	4/4	3	1	0								p																
45	45	176	176	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	493																			
45	45	179	179	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	494				articAccentAbove								97							
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	495				articAccentAbove															
45	45	176	176	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	496				ornamentTrill															
45	45	177	177	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	497				ornamentTrill															
45	45	178	178	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	498				ornamentTrill															
45	45	179	179	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	499				ornamentTrill															
46	46	725/4	725/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	500												98							
46	46	363/2	363/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	501												98							
46	46	727/4	727/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	502												98							
46	46	182	182	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	503												98							
46	46	729/4	729/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	504																			
46	46	180	180	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	505																			
46	46	183	183	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	506				articAccentAbove								99							
46	46	367/2	367/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	507				articAccentAbove															
46	46	180	180	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	508				ornamentTrill															
46	46	181	181	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	509				ornamentTrill															
46	46	182	182	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	510				ornamentTrill															
46	46	183	183	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	511				ornamentTrill															
47	47	184	184	0.0	0	0	Dynamic	4/4	2	1	0								p																
47	47	184	184	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	512				articAccentAbove															
47	47	186	186	1.5	1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	513																			
47	47	375/2	375/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	514																			
47	47	184	184	0.0	0	0	Chord	4/4	2	2	0	grace32		1/32	1	515																			
47	47	184	184	0.0	0	0	Chord	4/4	2	2	0	grace32		1/32	1	516																			
47	47	184	184	4.0	0	0	Chord	4/4	2	2	1			1	1	517																			
47	47	184	184	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	518				ornamentTrill															
47	47	185	185	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	519				ornamentTrill															
47	47	186	186	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	520				ornamentTrill															
47	47	187	187	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	521				ornamentTrill															
48	48	188	188	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	522																			
48	48	191	191	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	523				articAccentAbove								100							
48	48	383/2	383/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	524				articAccentAbove															
48	48	188	188	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	525																			
48	48	189	189	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	526																			
48	48	190	190	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	527																			
48	48	191	191	0.0	3/4	3/4	Spanner	4/4	2	2	0																		36						
48	48	191	191	0.5	3/4	3/4	Chord	4/4	2	2	1/8			1/8	1	528													36						
48	48	383/2	383/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8			1/8	1	529													36						
48	48	188	188	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	530												101							
48	48	189	189	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	531												101							
48	48	190	190	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	532												101							
48	48	191	191	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	533																			
49	49	192	192	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	534																			
49	49	192	192	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	535																			
49	49	193	193	0.0	1/4	1/4	Spanner	4/4	2	1	0																		37						
49	49	193	193	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	536												102	37						
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	537													37						
49	49	194	194	0.0	1/2	1/2	Spanner	4/4	2	1	0																								
49	49	194	194	0.0	1/2	1/2	Chord	4/4	2	1	0	acciaccatura		1/8	1	538																			
49	49	194	194	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	539																			
49	49	195	195	0.0	3/4	3/4	Spanner	4/4	2	1	0																		38						
49	49	195	195	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	540												103	38						
49	49	391/2	391/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	541													38						
49	49	192	192	0.0	0	0	Spanner	4/4	2	2	0																		38						
49	49	192	192	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	542																			
49	49	194	194	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	543																			
50	50	196	196	0.0	0	0	Spanner	4/4	2	1	0																								
50	50	196	196	0.0	0	0	Spanner	4/4	2	1	0																			22					
50	50	196	196	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	544				articAccentAbove								104		22					
50	50	393/2	393/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	545														22					
50	50	197	197	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	546														22					
50	50	397/2	397/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	547												105		22					
50	50	199	199	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	548												105		22					
50	50	399/2	399/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0								mp																
50	50	399/2	399/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																								
50	50	399/2	399/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	549																			
50	50	196	196	3.0	0	0	Chord	4/4	2	2	3/4			1/2	3/2	550																			
50	50	199	199	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	551																			
50	50	196	196	0.0	0	0	Dynamic	4/4	3	1	0								f																
50	50	196	196	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	552												106							
50	50	197	197	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	553												106							
50	50	198	198	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	554												106							
50	50	199	199	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	555																			
51	51	405/2	405/2	0.0	5/8	5/8	Dynamic	4/4	1	1	0								mp																
51	51	405/2	405/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		39						
51	51	405/2	405/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	556	In	In											39						
51	51	203	203	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	557	die-	such											39						
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	558	-sem	a											39						
51	51	200	200	0.0	0	0	Spanner	4/4	2	1	0																			23					
51	51	200	200	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	559												107		23					
51	51	401/2	401/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	560												107		23					
51	51	201	201	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	561												107		23					
51	51	403/2	403/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	562														23					
51	51	202	202	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	563												108		23					
51	51	405/2	405/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	564												108		23					
51	51	203	203	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	565												108		23					
51	51	407/2	407/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0								p																
51	51	407/2	407/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																								
51	51	407/2	407/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	566																			
51	51	200	200	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1	567																			
51	51	202	202	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	568																			
51	51	203	203	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	569																			
51	51	200	200	0.0	0	0	Dynamic	4/4	3	1	0								f																
51	51	200	200	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	570												109							
51	51	201	201	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	571												109							
51	51	202	202	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	572												109							
51	51	203	203	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	573																			
52	52	204	204	0.0	0	0	Dynamic	4/4	1	1	0								ff																
52	52	204	204	0.0	0	0	Spanner	4/4	1	1	0																								
52	52	204	204	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	574	Wet-	tem-																	
52	52	205	205	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	575	-ter,	-pest,																	
52	52	206	206	0.0	1/2	1/2	Dynamic	4/4	1	1	0								mp																
52	52	413/2	413/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		40						
52	52	413/2	413/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	576	in	on											40						
52	52	207	207	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	577	die-	such											40						
52	52	415/2	415/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	578	-sem-	a											40						
52	52	204	204	0.0	0	0	Spanner	4/4	2	1	0																			24					
52	52	204	204	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	579				ornamentTrill										24					
52	52	205	205	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	580				ornamentTrill										24					
52	52	206	206	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	581				ornamentTrill										24					
52	52	207	207	0.0	3/4	3/4	Dynamic	4/4	2	1	0								p																
52	52	207	207	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
52	52	207	207	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	582				ornamentTrill															
52	52	204	204	4.0	0	0	Chord	4/4	2	2	1			1	1	583																			
52	52	204	204	0.0	0	0	Dynamic	4/4	3	1	0								f																
52	52	204	204	4.0	0	0	Chord	4/4	3	1	1			1	1	584																			
52	52	204	204	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	585				ornamentTrill															
52	52	205	205	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	586				ornamentTrill															
52	52	206	206	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	587				ornamentTrill															
52	52	207	207	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	588				ornamentTrill															
53	53	208	208	0.0	0	0	Dynamic	4/4	1	1	0								ff																
53	53	208	208	0.0	0	0	Spanner	4/4	1	1	0																								
53	53	208	208	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	589	-Graus,	day,																	
53	53	211	211	0.0	3/4	3/4	Dynamic	4/4	1	1	0								mf																
53	53	211	211	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	590	nie	I																	
53	53	208	208	0.0	0	0	Spanner	4/4	2	1	0																			25					
53	53	208	208	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	591				ornamentTrill										25					
53	53	209	209	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	592				ornamentTrill										25					
53	53	210	210	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	593				ornamentTrill										25					
53	53	211	211	0.0	3/4	3/4	Dynamic	4/4	2	1	0								p																
53	53	211	211	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
53	53	211	211	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	594				ornamentTrill															
53	53	208	208	4.0	0	0	Chord	4/4	2	2	1			1	1	595																			
53	53	208	208	0.0	0	0	Dynamic	4/4	3	1	0								f																
53	53	208	208	4.0	0	0	Chord	4/4	3	1	1			1	1	596																			
53	53	208	208	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	597				ornamentTrill															
53	53	209	209	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	598				ornamentTrill															
53	53	210	210	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	599				ornamentTrill															
53	53	211	211	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	600				ornamentTrill															
54	54	212	212	0.0	0	0	Dynamic	4/4	1	1	0								p																
54	54	212	212	0.0	0	0	StaffText	4/4	1	1	0										klagend														
54	54	212	212	0.0	0	0	StaffText	4/4	1	1	0										lagrimoso														
54	54	212	212	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	601	hätt'	ne'er																	
54	54	214	214	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	602	ich	had																	
54	54	431/2	431/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	603	ge-	per-																	
54	54	212	212	0.0	0	0	Dynamic	4/4	2	1	0								pp																
54	54	212	212	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	604												110							
54	54	214	214	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	605																			
54	54	212	212	2.0	0	0	Chord	4/4	2	2	1/2		c32	1/2	1	606																			
54	54	212	212	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1	607																			
54	54	214	214	2.0	1/2	1/2	Chord	4/4	2	2	1/2		c32	1/2	1	608																			
54	54	214	214	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	609																			
54	54	212	212	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	610												111							
54	54	214	214	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	611												111							
55	55	216	216	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	612	-las-	-mit-										112							
55	55	433/2	433/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	613																			
55	55	217	217	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	614	-sen	-ted																	
55	55	219	219	0.0	3/4	3/4	Spanner	4/4	1	1	0																		41						
55	55	219	219	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	615	die	the										113	41						
55	55	439/2	439/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	616													41						
55	55	216	216	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	617												114							
55	55	433/2	433/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	618																			
55	55	217	217	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	619																			
55	55	219	219	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	620												115							
55	55	439/2	439/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	621																			
55	55	216	216	3.0	0	0	Chord	4/4	2	2	3/4			1/2	3/2	622																			
55	55	216	216	4.0	0	0	Chord	4/4	3	1	1			1	1	623																			
56	56	220	220	0.0	0	0	Spanner	4/4	1	1	0																								
56	56	220	220	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	624	Kin-	child-		articAccentAbove								116							
56	56	221	221	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	625																			
56	56	222	222	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	626	-der	-ren																	
56	56	223	223	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	627	hin-	to																	
56	56	220	220	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	628																			
56	56	221	221	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	629																			
56	56	222	222	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	630																			
56	56	223	223	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	631																			
56	56	220	220	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1	632																			
56	56	222	222	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	633																			
56	56	220	220	4.0	0	0	Chord	4/4	2	3	1			1	1	634																			
56	56	220	220	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	635												117							
56	56	222	222	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	636												117							
56	56	223	223	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	637																			
57	57	224	224	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	638	-aus,	play.																	
57	57	224	224	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	639																			
57	57	227	227	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	640																			
57	57	455/2	455/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	641																			
57	57	224	224	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	642				articAccentBelow															
57	57	225	225	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	643				articAccentBelow															
57	57	226	226	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	644				articAccentBelow															
57	57	227	227	0.0	3/4	3/4	Spanner	4/4	2	2	0																		42						
57	57	227	227	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	645													42						
57	57	224	224	3.0	0	0	Chord	4/4	2	3	3/4			1/2	3/2	646													42						
57	57	224	224	3.0	0	0	Chord	4/4	3	1	3/4			1/2	3/2	647												118							
57	57	227	227	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	648																			
58	58	228	228	0.0	0	0	Dynamic	4/4	2	1	0								p																
58	58	228	228	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	649				articAccentAbove															
58	58	229	229	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	650												119							
